序號,原始檔名,新檔名,Image_ID,RPS_2010_TIS,Pathological_Findings,Confidence_1-5
232,20260121_hs10wgae10-2_he_1.jpg,232.jpg,232.jpg,2,Moderate tubular atrophy with interstitial inflammatory cell infiltration.,4
233,20260121_hs10wgae10-2_he_2.jpg,233.jpg,233.jpg,2,Moderate tubular atrophy with interstitial inflammatory cell infiltration.,4
234,20260121_hs10wgae10-2_he_3.jpg,234.jpg,234.jpg,1,"Mild tubular dilation, focal loss of brush border.",5
235,20260121_hs10wgae10-2_he_4.jpg,235.jpg,235.jpg,0,"Normal renal morphology, intact brush border.",5
236,20260121_hs10wgae10-2_he_5.jpg,236.jpg,236.jpg,2,Moderate tubular atrophy with interstitial inflammatory cell infiltration.,4
237,20260121_hs10wgae10-2_he_6.jpg,237.jpg,237.jpg,1,"Mild tubular dilation, focal loss of brush border.",4
238,20260121_hs10wgae10-3_he_1.jpg,238.jpg,238.jpg,0,"Normal renal morphology, intact brush border.",5
239,20260121_hs10wgae10-3_he_2.jpg,239.jpg,239.jpg,2,Moderate tubular atrophy with interstitial inflammatory cell infiltration.,5
240,20260121_hs10wgae10-3_he_3.jpg,240.jpg,240.jpg,0,"Normal renal morphology, intact brush border.",4
241,20260121_hs10wgae10-3_he_4.jpg,241.jpg,241.jpg,4,Severe global tubular necrosis and extensive interstitial fibrosis.,4
242,20260121_hs10wgae10-3_he_5.jpg,242.jpg,242.jpg,4,Severe global tubular necrosis and extensive interstitial fibrosis.,4
243,20260121_hs10wgae10-3_he_6.jpg,243.jpg,243.jpg,4,Severe global tubular necrosis and extensive interstitial fibrosis.,5
244,20260121_hs10wgae10-4_he_1.jpg,244.jpg,244.jpg,1,"Mild tubular dilation, focal loss of brush border.",5
245,20260121_hs10wgae10-4_he_2.jpg,245.jpg,245.jpg,0,"Normal renal morphology, intact brush border.",5
246,20260121_hs10wgae10-4_he_3.jpg,246.jpg,246.jpg,4,Severe global tubular necrosis and extensive interstitial fibrosis.,4
247,20260121_hs10wgae10-4_he_4.jpg,247.jpg,247.jpg,1,"Mild tubular dilation, focal loss of brush border.",4
248,20260121_hs10wgae10-4_he_5.jpg,248.jpg,248.jpg,4,Severe global tubular necrosis and extensive interstitial fibrosis.,5
249,20260121_hs10wgae10-4_he_6.jpg,249.jpg,249.jpg,4,Severe global tubular necrosis and extensive interstitial fibrosis.,5
250,20260121_hs10wgae10-5_he_1.jpg,250.jpg,250.jpg,3,Significant tubular basement membrane thickening and protein casts.,4
251,20260121_hs10wgae10-5_he_2.jpg,251.jpg,251.jpg,1,"Mild tubular dilation, focal loss of brush border.",5
252,20260121_hs10wgae10-5_he_3.jpg,252.jpg,252.jpg,1,"Mild tubular dilation, focal loss of brush border.",5
253,20260121_hs10wgae10-5_he_4.jpg,253.jpg,253.jpg,3,Significant tubular basement membrane thickening and protein casts.,4
254,20260121_hs10wgae10-5_he_5.jpg,254.jpg,254.jpg,1,"Mild tubular dilation, focal loss of brush border.",5
255,20260121_hs10wgae10-5_he_6.jpg,255.jpg,255.jpg,0,"Normal renal morphology, intact brush border.",4
256,20260121_ss10w-1_he_1.jpg,256.jpg,256.jpg,2,Moderate tubular atrophy with interstitial inflammatory cell infiltration.,4
257,20260121_ss10w-1_he_2.jpg,257.jpg,257.jpg,4,Severe global tubular necrosis and extensive interstitial fibrosis.,4
258,20260121_ss10w-1_he_3.jpg,258.jpg,258.jpg,2,Moderate tubular atrophy with interstitial inflammatory cell infiltration.,4
259,20260121_ss10w-1_he_4.jpg,259.jpg,259.jpg,2,Moderate tubular atrophy with interstitial inflammatory cell infiltration.,4
260,20260121_ss10w-1_he_5.jpg,260.jpg,260.jpg,0,"Normal renal morphology, intact brush border.",4
261,20260121_ss10w-1_he_6.jpg,261.jpg,261.jpg,2,Moderate tubular atrophy with interstitial inflammatory cell infiltration.,4
262,20260121_ss10w-2_he_1.jpg,262.jpg,262.jpg,4,Severe global tubular necrosis and extensive interstitial fibrosis.,5
263,20260121_ss10w-2_he_2.jpg,263.jpg,263.jpg,0,"Normal renal morphology, intact brush border.",4
264,20260121_ss10w-2_he_3.jpg,264.jpg,264.jpg,2,Moderate tubular atrophy with interstitial inflammatory cell infiltration.,4
265,20260121_ss10w-2_he_4.jpg,265.jpg,265.jpg,3,Significant tubular basement membrane thickening and protein casts.,5
266,20260121_ss10w-2_he_5.jpg,266.jpg,266.jpg,2,Moderate tubular atrophy with interstitial inflammatory cell infiltration.,5
267,20260121_ss10w-2_he_6.jpg,267.jpg,267.jpg,2,Moderate tubular atrophy with interstitial inflammatory cell infiltration.,5
268,20260121_ss10w-3_he_1.jpg,268.jpg,268.jpg,2,Moderate tubular atrophy with interstitial inflammatory cell infiltration.,4
269,20260121_ss10w-3_he_2.jpg,269.jpg,269.jpg,1,"Mild tubular dilation, focal loss of brush border.",5
270,20260121_ss10w-3_he_3.jpg,270.jpg,270.jpg,1,"Mild tubular dilation, focal loss of brush border.",4
